BASE;COUNTER;DATE;EXCHANGE
USD;EUR;2020-12-31;1.2213
USD;EUR;2020-12-30;1.2295
USD;EUR;2020-12-29;1.2247
USD;EUR;2020-12-28;1.2214
USD;EUR;2020-12-25;1.2204
USD;EUR;2020-12-24;1.2186
USD;EUR;2020-12-23;1.2185
USD;EUR;2020-12-22;1.2161
USD;EUR;2020-12-21;1.2242
USD;EUR;2020-12-18;1.2255
USD;EUR;2020-12-17;1.2266
USD;EUR;2020-12-16;1.2197
USD;EUR;2020-12-15;1.2151
USD;EUR;2020-12-14;1.2143
USD;EUR;2020-12-11;1.2111
USD;EUR;2020-12-10;1.2136
USD;EUR;2020-12-09;1.2081
USD;EUR;2020-12-08;1.2101
USD;EUR;2020-12-07;1.2108
USD;EUR;2020-12-04;1.212
USD;EUR;2020-12-03;1.214
USD;EUR;2020-12-02;1.2115
USD;EUR;2020-12-01;1.207
USD;EUR;2020-11-30;1.1928
USD;EUR;2020-11-27;1.1962
USD;EUR;2020-11-26;1.1913
USD;EUR;2020-11-25;1.1913
USD;EUR;2020-11-24;1.1888
USD;EUR;2020-11-23;1.184
USD;EUR;2020-11-20;1.1853
USD;EUR;2020-11-19;1.1873
USD;EUR;2020-11-18;1.1852
USD;EUR;2020-11-17;1.1861
USD;EUR;2020-11-16;1.1853
USD;EUR;2020-11-13;1.1832
USD;EUR;2020-11-12;1.1804
USD;EUR;2020-11-11;1.1777
USD;EUR;2020-11-10;1.1814
USD;EUR;2020-11-09;1.1813
USD;EUR;2020-11-06;1.1872
USD;EUR;2020-11-05;1.1821
USD;EUR;2020-11-04;1.1722
USD;EUR;2020-11-03;1.1711
USD;EUR;2020-11-02;1.164
USD;EUR;2020-10-30;1.1647
USD;EUR;2020-10-29;1.1674
USD;EUR;2020-10-28;1.1744
USD;EUR;2020-10-27;1.1795
USD;EUR;2020-10-26;1.1808
USD;EUR;2020-10-23;1.1859
USD;EUR;2020-10-22;1.1816
USD;EUR;2020-10-21;1.1861
USD;EUR;2020-10-20;1.1821
USD;EUR;2020-10-19;1.1766
USD;EUR;2020-10-16;1.1718
USD;EUR;2020-10-15;1.1706
USD;EUR;2020-10-14;1.1746
USD;EUR;2020-10-13;1.1744
USD;EUR;2020-10-12;1.1813
USD;EUR;2020-10-09;1.1824
USD;EUR;2020-10-08;1.1758
USD;EUR;2020-10-07;1.176
USD;EUR;2020-10-06;1.1734
USD;EUR;2020-10-05;1.1781
USD;EUR;2020-10-02;1.1713
USD;EUR;2020-10-01;1.1747
USD;EUR;2020-09-30;1.1718
USD;EUR;2020-09-29;1.1742
USD;EUR;2020-09-28;1.1664
USD;EUR;2020-09-25;1.163
USD;EUR;2020-09-24;1.1672
USD;EUR;2020-09-23;1.1659
USD;EUR;2020-09-22;1.1706
USD;EUR;2020-09-21;1.1769
USD;EUR;2020-09-18;1.1837
USD;EUR;2020-09-17;1.1847
USD;EUR;2020-09-16;1.1814
USD;EUR;2020-09-15;1.1845
USD;EUR;2020-09-14;1.1868
USD;EUR;2020-09-11;1.1845
USD;EUR;2020-09-10;1.1813
USD;EUR;2020-09-09;1.1802
USD;EUR;2020-09-08;1.1779
USD;EUR;2020-09-07;1.1817
USD;EUR;2020-09-04;1.1838
USD;EUR;2020-09-03;1.1849
USD;EUR;2020-09-02;1.1853
USD;EUR;2020-09-01;1.191
USD;EUR;2020-08-31;1.1936
USD;EUR;2020-08-28;1.1903
USD;EUR;2020-08-27;1.1821
USD;EUR;2020-08-26;1.1829
USD;EUR;2020-08-25;1.1833
USD;EUR;2020-08-24;1.1787
USD;EUR;2020-08-21;1.1795
USD;EUR;2020-08-20;1.1859
USD;EUR;2020-08-19;1.1836
USD;EUR;2020-08-18;1.1929
USD;EUR;2020-08-17;1.1869
USD;EUR;2020-08-14;1.1841
USD;EUR;2020-08-13;1.1812
USD;EUR;2020-08-12;1.1782
USD;EUR;2020-08-11;1.1739
USD;EUR;2020-08-10;1.1736
USD;EUR;2020-08-07;1.1786
USD;EUR;2020-08-06;1.1875
USD;EUR;2020-08-05;1.1861
USD;EUR;2020-08-04;1.18
USD;EUR;2020-08-03;1.1761
USD;EUR;2020-07-31;1.1774
USD;EUR;2020-07-30;1.1846
USD;EUR;2020-07-29;1.179
USD;EUR;2020-07-28;1.1714
USD;EUR;2020-07-27;1.1751
USD;EUR;2020-07-24;1.1654
USD;EUR;2020-07-23;1.1594
USD;EUR;2020-07-22;1.1568
USD;EUR;2020-07-21;1.1526
USD;EUR;2020-07-20;1.1444
USD;EUR;2020-07-17;1.1426
USD;EUR;2020-07-16;1.1383
USD;EUR;2020-07-15;1.141
USD;EUR;2020-07-14;1.1396
USD;EUR;2020-07-13;1.134
USD;EUR;2020-07-10;1.1298
USD;EUR;2020-07-09;1.1281
USD;EUR;2020-07-08;1.1329
USD;EUR;2020-07-07;1.127
USD;EUR;2020-07-06;1.1308
USD;EUR;2020-07-03;1.1248
USD;EUR;2020-07-02;1.1238
USD;EUR;2020-07-01;1.125
USD;EUR;2020-06-30;1.1231
USD;EUR;2020-06-29;1.124
USD;EUR;2020-06-26;1.1217
USD;EUR;2020-06-25;1.1217
USD;EUR;2020-06-24;1.125
USD;EUR;2020-06-23;1.1306
USD;EUR;2020-06-22;1.1258
USD;EUR;2020-06-19;1.1175
USD;EUR;2020-06-18;1.1202
USD;EUR;2020-06-17;1.1243
USD;EUR;2020-06-16;1.1263
USD;EUR;2020-06-15;1.1322
USD;EUR;2020-06-12;1.1254
USD;EUR;2020-06-11;1.1297
USD;EUR;2020-06-10;1.1369
USD;EUR;2020-06-09;1.134
USD;EUR;2020-06-08;1.1292
USD;EUR;2020-06-05;1.1284
USD;EUR;2020-06-04;1.1336
USD;EUR;2020-06-03;1.1232
USD;EUR;2020-06-02;1.1169
USD;EUR;2020-06-01;1.1134
USD;EUR;2020-05-29;1.1098
USD;EUR;2020-05-28;1.1076
USD;EUR;2020-05-27;1.1003
USD;EUR;2020-05-26;1.098
USD;EUR;2020-05-25;1.0899
USD;EUR;2020-05-22;1.09
USD;EUR;2020-05-21;1.0949
USD;EUR;2020-05-20;1.0977
USD;EUR;2020-05-19;1.0921
USD;EUR;2020-05-18;1.0912
USD;EUR;2020-05-15;1.0815
USD;EUR;2020-05-14;1.0804
USD;EUR;2020-05-13;1.0816
USD;EUR;2020-05-12;1.0846
USD;EUR;2020-05-11;1.0806
USD;EUR;2020-05-08;1.084
USD;EUR;2020-05-07;1.0832
USD;EUR;2020-05-06;1.0794
USD;EUR;2020-05-05;1.0838
USD;EUR;2020-05-04;1.0906
USD;EUR;2020-05-01;1.0983
USD;EUR;2020-04-30;1.0955
USD;EUR;2020-04-29;1.0873
USD;EUR;2020-04-28;1.0818
USD;EUR;2020-04-27;1.0828
USD;EUR;2020-04-24;1.082
USD;EUR;2020-04-23;1.0776
USD;EUR;2020-04-22;1.0822
USD;EUR;2020-04-21;1.0856
USD;EUR;2020-04-20;1.0862
USD;EUR;2020-04-17;1.0876
USD;EUR;2020-04-16;1.0835
USD;EUR;2020-04-15;1.0907
USD;EUR;2020-04-14;1.0979
USD;EUR;2020-04-13;1.0913
USD;EUR;2020-04-10;1.0935
USD;EUR;2020-04-09;1.0927
USD;EUR;2020-04-08;1.0856
USD;EUR;2020-04-07;1.0889
USD;EUR;2020-04-06;1.0791
USD;EUR;2020-04-03;1.0808
USD;EUR;2020-04-02;1.0856
USD;EUR;2020-04-01;1.0962
USD;EUR;2020-03-31;1.1029
USD;EUR;2020-03-30;1.1046
USD;EUR;2020-03-27;1.114
USD;EUR;2020-03-26;1.1028
USD;EUR;2020-03-25;1.088
USD;EUR;2020-03-24;1.0787
USD;EUR;2020-03-23;1.0721
USD;EUR;2020-03-20;1.0694
USD;EUR;2020-03-19;1.069
USD;EUR;2020-03-18;1.0913
USD;EUR;2020-03-17;1.0996
USD;EUR;2020-03-16;1.1181
USD;EUR;2020-03-13;1.1105
USD;EUR;2020-03-12;1.1183
USD;EUR;2020-03-11;1.1267
USD;EUR;2020-03-10;1.1279
USD;EUR;2020-03-09;1.1447
USD;EUR;2020-03-06;1.1285
USD;EUR;2020-03-05;1.1239
USD;EUR;2020-03-04;1.1134
USD;EUR;2020-03-03;1.1171
USD;EUR;2020-03-02;1.1132
USD;EUR;2020-02-28;1.1025
USD;EUR;2020-02-27;1.0998
USD;EUR;2020-02-26;1.0879
USD;EUR;2020-02-25;1.0879
USD;EUR;2020-02-24;1.0852
USD;EUR;2020-02-21;1.0843
USD;EUR;2020-02-20;1.0783
USD;EUR;2020-02-19;1.0804
USD;EUR;2020-02-18;1.0791
USD;EUR;2020-02-17;1.0834
USD;EUR;2020-02-14;1.083
USD;EUR;2020-02-13;1.084
USD;EUR;2020-02-12;1.0871
USD;EUR;2020-02-11;1.0914
USD;EUR;2020-02-10;1.0909
USD;EUR;2020-02-07;1.0943
USD;EUR;2020-02-06;1.098
USD;EUR;2020-02-05;1.0997
USD;EUR;2020-02-04;1.1042
USD;EUR;2020-02-03;1.1058
USD;EUR;2020-01-31;1.1093
USD;EUR;2020-01-30;1.103
USD;EUR;2020-01-29;1.1009
USD;EUR;2020-01-28;1.102
USD;EUR;2020-01-27;1.1016
USD;EUR;2020-01-24;1.1023
USD;EUR;2020-01-23;1.1052
USD;EUR;2020-01-22;1.1091
USD;EUR;2020-01-21;1.1082
USD;EUR;2020-01-20;1.1094
USD;EUR;2020-01-17;1.1088
USD;EUR;2020-01-16;1.1135
USD;EUR;2020-01-15;1.1149
USD;EUR;2020-01-14;1.1127
USD;EUR;2020-01-13;1.1133
USD;EUR;2020-01-10;1.112
USD;EUR;2020-01-09;1.1105
USD;EUR;2020-01-08;1.1103
USD;EUR;2020-01-07;1.1151
USD;EUR;2020-01-06;1.1193
USD;EUR;2020-01-03;1.1158
USD;EUR;2020-01-02;1.117
USD;EUR;2020-01-01;1.121
