"tms","open","high","low","close","volume","market_cap"
"2021-03-21 23:59:06",0.7535,0.7778,0.718,0.7776,33346000.4608,196999401.0459
"2021-03-22 23:59:06",0.7779,0.8467,0.7658,0.7716,64098671.2898,195472964.0015
"2021-03-23 23:59:06",0.772,1.7217,0.6988,1.5176,1117069687.0384,384447497.9895
"2021-03-24 23:59:06",1.5253,1.692,1.2014,1.2516,500139013.8602,317068350.0399
"2021-03-25 23:59:06",1.2492,1.4611,1.1223,1.2348,499287397.6271,312804486.4836
"2021-03-26 23:59:06",1.2375,1.3841,1.1625,1.3469,318722102.9456,341200499.2109
"2021-03-27 23:59:06",1.3454,2.8822,1.3435,2.7258,2889877564.7074,690514498.3176
"2021-03-28 23:59:06",2.7491,3.3134,2.3356,2.3537,2263989169.795,596257049.3604
"2021-03-29 23:59:06",2.3489,2.6141,2.2346,2.3697,953249707.4237,600295921.2661
"2021-03-30 23:59:06",2.3675,2.8238,2.3053,2.5662,877067752.4315,650082782.0858
"2021-03-31 23:59:06",2.5633,2.6699,2.2724,2.4301,589411163.514,615607514.3383
"2021-04-01 23:59:06",2.4307,3.2441,2.3927,2.6286,1219327164.369,671533858.7157
