"tms","open","high","low","close","volume","market_cap"
"2021-03-21 23:59:06",0.2105,0.2141,0.2096,0.214,239592.8152,96389931.3682
"2021-03-22 23:59:06",0.214,0.2152,0.2092,0.2093,257006.1564,94252331.7727
"2021-03-23 23:59:06",0.2066,0.2101,0.1956,0.2024,287296.4643,91173245.1524
"2021-03-24 23:59:06",0.2021,0.2407,0.1872,0.2372,303531.5028,106850740.3782
"2021-03-25 23:59:06",0.2372,0.3558,0.1884,0.2866,1224761.5576,129088740.8163
"2021-03-26 23:59:06",0.2891,1.1754,0.2594,1.134,4308163.1194,510737891.4913
"2021-03-27 23:59:06",1.1449,1.1449,0.5898,0.6475,3709706.4949,291635289.195
"2021-03-28 23:59:06",0.642,0.8221,0.6146,0.6811,1600041.6002,306776821.3045
"2021-03-29 23:59:06",0.684,0.7299,0.6823,0.6882,868671.7602,309953582.3791
"2021-03-30 23:59:06",0.6884,0.7627,0.6751,0.6778,1010593.4599,305288197.4841
"2021-03-31 23:59:06",0.6779,0.7143,0.6583,0.6593,861371.2319,296948385.1296
"2021-04-01 23:59:06",0.6592,0.696,0.6584,0.6613,826867.9842,297831258.3513
