4195;"FTT";27;41.60694689;109930866.954881;109930866.954881;0;0;-0.158194;-0.223721;5.77809;13.817553;37.29096992;6.10400907;0.3252;0.01923151;2022-03-23;"2022-03-23-23:26:01"
1321;"ETC";28;40.80890599;2745832613.95559;2745832613.95559;0;0;0.075706;-3.904474;62.535683;76.13288344;86.93800569;19.89408894;0.3105;0.5030849;2022-03-23;"2022-03-23-23:26:01"
3957;"LEO";29;5.44975989;5984195.33470029;5984195.33470029;0;0;-0.357464;-4.011999;-1.759669;2.42888607;67.66875174;65.35315482;0.2958;0.00115107;2022-03-23;"2022-03-23-23:26:01"
4030;"ALGO";30;0.7560124;210508880.941251;210508880.941251;0;0;0.103373;-0.06939;11.376459;4.36084931;-11.71383073;-43.26108934;0.2851;0.04201238;2022-03-23;"2022-03-23-23:26:01"
512;"XLM";31;0.18969715;269632500.0675;269632500.0675;0;0;0.075563;-0.078948;9.34973;14.16303366;8.98181559;-27.266234;0.2661;0.05766202;2022-03-23;"2022-03-23-23:26:01"
1966;"MANA";32;2.28483282;429017911.729225;429017911.729225;0;0;-0.136463;2.284895;0.124831;1.0665593;25.13557023;-31.70077932;0.2393;0.10200186;2022-03-23;"2022-03-23-23:26:01"
4023;"BTCB";33;38497.41811755;25738692.2471533;25738692.2471533;0;0;-0.091962;-1.141946;1.990441;13.16948369;21.41463211;-16.51852335;0.2303;0.00635847;2022-03-23;"2022-03-23-23:26:01"
4642;"HBAR";34;0.1980609;82867267.6888947;82867267.6888947;0;0;0.008996;0.518584;5.60908;7.0738295;-1.16553754;-33.66729534;0.2205;0.02138437;2022-03-23;"2022-03-23-23:26:01"
8916;"ICP";35;17.16573139;352295611.435998;352295611.435998;0;0;-0.210681;3.79259;13.464964;6.07290648;-6.97075136;-29.90644356;0.211;0.09501696;2022-03-23;"2022-03-23-23:26:01"
6892;"EGLD";36;168.16620585;241575278.883256;241575278.883256;0;0;-0.340212;-0.804801;10.638053;24.11972374;49.58031906;-29.51507039;0.2075;0.06623159;2022-03-23;"2022-03-23-23:26:01"
6210;"SAND";37;2.96268152;798378856.378995;798378856.378995;0;0;0.447399;3.213587;0.940557;10.85832462;10.43847943;-48.11277268;0.1922;0.23638602;2022-03-23;"2022-03-23-23:26:01"
328;"XMR";39;178.80895973;101681760.783374;101681760.783374;0;0;0.306138;0.182586;2.747414;32.21401741;30.28536381;-6.0513746;0.1841;0.03142282;2022-03-23;"2022-03-23-23:26:01"
3077;"VET";40;0.05027851;319239450.03108;319239450.03108;0;0;-0.437213;3.141035;13.540202;21.01173019;8.90721539;-40.08164574;0.184;0.09872292;2022-03-23;"2022-03-23-23:26:01"
6783;"AXS";41;52.30889527;496865117.309401;496865117.309401;0;0;-1.290047;7.878699;12.758701;17.75459772;16.0019306;-46.5134208;0.1813;0.15595244;2022-03-23;"2022-03-23-23:26:01"
2280;"FIL";42;17.49158747;475902014.656328;475902014.656328;0;0;0.255337;4.238905;9.030928;1.42304238;2.30477728;-48.53721348;0.18;0.15041807;2022-03-23;"2022-03-23-23:26:01"
1274;"WAVES";43;28.91391649;652939537.639846;652939537.639846;0;0;0.059241;-2.606497;9.232461;265.68954378;257.45994545;92.42170414;0.1774;0.20945514;2022-03-23;"2022-03-23-23:26:01"
3513;"FTM";44;1.17843702;414188632.937946;414188632.937946;0;0;-0.164952;0.293138;0.399356;-17.32135394;-33.59986204;-29.50883747;0.1706;0.13810295;2022-03-23;"2022-03-23-23:26:01"
2416;"THETA";45;2.87651321;187715855.523457;187715855.523457;0;0;0.01109;2.070118;8.421035;15.92120884;15.62377516;-33.45603863;0.1637;0.06525812;2022-03-23;"2022-03-23-23:26:01"
4256;"KLAY";46;1.0335248;82741912.1919515;82741912.1919515;0;0;0.127354;1.376132;1.110486;-5.15896636;-2.05933445;-14.77006444;0.1624;0.02898724;2022-03-23;"2022-03-23-23:26:01"
2011;"XTZ";47;3.15168781;183649830.332606;183649830.332606;0;0;0.888201;4.162114;10.84608;13.94172181;18.97101198;-26.41016223;0.1593;0.0655855;2022-03-23;"2022-03-23-23:26:01"
5665;"HNT";48;22.97533518;45769946.2450628;45769946.2450628;0;0;0.342601;0.085333;11.560853;16.60682969;13.18754383;-34.89309859;0.1488;0.01749721;2022-03-23;"2022-03-23-23:26:01"
4157;"RUNE";49;7.59876984;159268788.558035;159268788.558035;0;0;0.312743;-4.625736;8.286435;133.49812545;116.1009375;7.20351463;0.143;0.06338243;2022-03-23;"2022-03-23-23:26:01"
1437;"ZEC";50;165.39837588;266933551.576748;266933551.576748;0;0;1.0231;2.852075;18.152214;78.93938585;94.53670643;9.066055;0.1319;0.11518204;2022-03-23;"2022-03-23-23:26:01"
1765;"EOS";51;2.25865915;579528192.666239;579528192.666239;0;0;0.214452;-3.054484;18.162543;17.52949497;12.35870521;-28.91808367;0.1264;0.26084266;2022-03-23;"2022-03-23-23:26:01"
4558;"FLOW";52;5.66245158;93448113.2561058;93448113.2561058;0;0;-0.381693;0.815275;11.971454;18.12522862;24.49861483;-33.08485365;0.1149;0.04629741;2022-03-23;"2022-03-23-23:26:01"
1720;"MIOTA";53;0.70852693;37243428.722461;37243428.722461;0;0;0.697826;-0.669647;6.526636;8.33205955;0.68494851;-39.79304063;0.1121;0.01891132;2022-03-23;"2022-03-23-23:26:01"
7278;"AAVE";54;140.53964112;173874243.323737;173874243.323737;0;0;0.332624;-0.518599;8.711027;17.84904624;6.73709005;-37.08453802;0.1092;0.09061001;2022-03-23;"2022-03-23-23:26:01"
6719;"GRT";55;0.38232767;123203394.587283;123203394.587283;0;0;-0.426775;1.251895;-8.72552;16.47722338;1.92081678;-42.76962011;0.1026;0.06833411;2022-03-23;"2022-03-23-23:26:01"
1518;"MKR";56;1796.51681488;72174395.2109999;72174395.2109999;0;0;-0.053464;-4.570907;0.410936;16.40744514;10.46769388;-25.97354417;0.0999;0.04109386;2022-03-23;"2022-03-23-23:26:01"
7186;"CAKE";57;6.27810381;150579899.356765;150579899.356765;0;0;0.954092;-1.315199;22.680063;-1.08648698;-7.26699183;-43.89018974;0.0991;0.08647141;2022-03-23;"2022-03-23-23:26:01"
3945;"ONE";58;0.13435613;103205230.07018;103205230.07018;0;0;0.210553;2.664075;10.929238;7.18964528;-22.90508488;-42.3116538;0.0905;0.06490985;2022-03-23;"2022-03-23-23:26:01"
16086;"BTT";59;1.7e-06;78595974.8720203;78595974.8720203;0;0;0.154075;-0.215531;0.98573;-3.53398857;-6.59459707;-21.61962874;0.0896;0.04992297;2022-03-23;"2022-03-23-23:26:01"
4847;"STX";60;1.20482437;71284780.7004962;71284780.7004962;0;0;0.41333;0.496964;3.084013;17.46465719;-5.13430357;-43.57370942;0.0894;0.04536027;2022-03-23;"2022-03-23-23:26:01"
7080;"GALA";61;0.22355324;746912453.633755;746912453.633755;0;0;-0.363826;1.251286;2.109043;8.50022389;37.85458177;-51.74221616;0.0887;0.47885853;2022-03-23;"2022-03-23-23:26:01"
